epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,583.605,0.71661,0.3736,0.77545,0.99921,1,0.995,0.79457,0.73656,0.4052,0.76655,0.000538072,0.000538072,0.000538072
64,588.853,0.71767,0.37448,0.77019,0.99937,1,0.995,0.80192,0.75427,0.40958,0.76876,0.000514122,0.000514122,0.000514122
65,593.679,0.70333,0.36575,0.77414,0.9991,1,0.995,0.80661,0.71555,0.38535,0.76747,0.000490497,0.000490497,0.000490497
66,598.899,0.69143,0.35333,0.78005,0.99926,1,0.995,0.79947,0.7471,0.42737,0.76799,0.000467218,0.000467218,0.000467218
67,603.629,0.70078,0.36586,0.77414,0.99917,1,0.995,0.802,0.74134,0.42042,0.76649,0.000444309,0.000444309,0.000444309
68,608.404,0.69873,0.35439,0.77804,0.99847,1,0.995,0.80194,0.76945,0.42694,0.76786,0.000421792,0.000421792,0.000421792
69,613.207,0.7025,0.36219,0.76915,0.99951,1,0.995,0.79797,0.73982,0.41603,0.76622,0.000399689,0.000399689,0.000399689
70,618.028,0.69169,0.3599,0.7778,0.99922,1,0.995,0.81486,0.71595,0.39005,0.76539,0.000378023,0.000378023,0.000378023
71,622.843,0.70049,0.35587,0.78024,0.99759,1,0.995,0.79976,0.74435,0.39957,0.76478,0.000356815,0.000356815,0.000356815
72,627.807,0.68096,0.34702,0.77007,0.99893,1,0.995,0.80769,0.71307,0.40628,0.7635,0.000336086,0.000336086,0.000336086
73,632.587,0.6833,0.34161,0.77987,0.99852,1,0.995,0.79683,0.7269,0.40467,0.7662,0.000315855,0.000315855,0.000315855
74,637.384,0.66959,0.34139,0.7747,0.99927,1,0.995,0.80346,0.74432,0.42119,0.76695,0.000296144,0.000296144,0.000296144
75,642.107,0.67771,0.34065,0.77289,0.99924,1,0.995,0.79566,0.71992,0.37504,0.76429,0.000276971,0.000276971,0.000276971
76,646.805,0.66718,0.33823,0.78286,0.99847,1,0.995,0.80412,0.70497,0.37757,0.76423,0.000258355,0.000258355,0.000258355
77,651.598,0.65745,0.33213,0.77107,0.99912,1,0.995,0.81852,0.68777,0.37443,0.76346,0.000240316,0.000240316,0.000240316
78,656.502,0.65619,0.33004,0.77405,0.99924,1,0.995,0.80243,0.70265,0.37912,0.76474,0.00022287,0.00022287,0.00022287
79,661.435,0.6517,0.32828,0.78122,0.99937,1,0.995,0.80625,0.70097,0.38569,0.76353,0.000206034,0.000206034,0.000206034
80,666.251,0.65105,0.32245,0.77814,0.99941,1,0.995,0.80953,0.70543,0.38676,0.76221,0.000189827,0.000189827,0.000189827
81,671.037,0.65168,0.33013,0.77532,0.99949,1,0.995,0.81148,0.69603,0.39354,0.76356,0.000174262,0.000174262,0.000174262
82,675.949,0.63757,0.3286,0.77473,0.99951,1,0.995,0.81067,0.71072,0.39612,0.76366,0.000159357,0.000159357,0.000159357
83,680.767,0.65359,0.31988,0.77123,0.99937,1,0.995,0.80617,0.69874,0.37723,0.76353,0.000145125,0.000145125,0.000145125
84,685.502,0.6391,0.32419,0.77029,0.99921,1,0.995,0.8057,0.68769,0.37517,0.76278,0.000131581,0.000131581,0.000131581
85,690.252,0.64401,0.32187,0.77608,0.99935,1,0.995,0.80791,0.69193,0.37993,0.76459,0.000118737,0.000118737,0.000118737
86,695.963,0.63844,0.32689,0.77217,0.9993,1,0.995,0.81747,0.67738,0.38869,0.76358,0.000106608,0.000106608,0.000106608
87,700.835,0.63616,0.32163,0.77135,0.99931,1,0.995,0.81886,0.68696,0.37659,0.76244,9.52034e-05,9.52034e-05,9.52034e-05
88,705.597,0.63163,0.31638,0.77313,0.99927,1,0.995,0.79786,0.69285,0.38606,0.76296,8.4536e-05,8.4536e-05,8.4536e-05
89,710.281,0.63629,0.30883,0.77155,0.99922,1,0.995,0.79967,0.68268,0.36572,0.76173,7.4616e-05,7.4616e-05,7.4616e-05
90,715.049,0.63008,0.31345,0.78011,0.99928,1,0.995,0.79787,0.68237,0.36808,0.76318,6.54531e-05,6.54531e-05,6.54531e-05
91,766.812,0.63422,0.31704,0.7708,0.99925,1,0.995,0.80828,0.67971,0.3628,0.76279,5.70564e-05,5.70564e-05,5.70564e-05
92,771.812,0.62212,0.3173,0.76075,0.99924,1,0.995,0.81065,0.67467,0.35792,0.76259,4.94343e-05,4.94343e-05,4.94343e-05
93,776.554,0.62563,0.31737,0.7724,0.9992,1,0.995,0.8082,0.6776,0.36616,0.76245,4.25941e-05,4.25941e-05,4.25941e-05
94,781.308,0.62819,0.31212,0.77336,0.9992,1,0.995,0.80326,0.68303,0.36832,0.76187,3.65426e-05,3.65426e-05,3.65426e-05
95,785.987,0.6096,0.29981,0.78015,0.99924,1,0.995,0.81123,0.68205,0.37066,0.76197,3.12859e-05,3.12859e-05,3.12859e-05
96,790.882,0.61401,0.29808,0.77362,0.99928,1,0.995,0.81279,0.68468,0.36554,0.76265,2.68292e-05,2.68292e-05,2.68292e-05
97,795.677,0.61027,0.30623,0.77231,0.99927,1,0.995,0.81309,0.67472,0.35926,0.76167,2.31767e-05,2.31767e-05,2.31767e-05
98,800.407,0.61318,0.31315,0.76465,0.99926,1,0.995,0.81045,0.67958,0.36376,0.76152,2.03321e-05,2.03321e-05,2.03321e-05
99,805.37,0.61902,0.30182,0.77294,0.99928,1,0.995,0.80961,0.68119,0.36637,0.76093,1.82983e-05,1.82983e-05,1.82983e-05
100,810.117,0.61662,0.30417,0.76681,0.99929,1,0.995,0.80624,0.68343,0.3647,0.7622,1.70772e-05,1.70772e-05,1.70772e-05
